X (mg),Y (mg),Z (mg)
-11,2,1025
-11,1,1026
-10,0,1025
-11,3,1025
-10,0,1026
-9,3,1026
-13,0,1025
-8,0,1025
-11,2,1024
-11,0,1025
-11,3,1024
-8,0,1024
-12,-1,1026
-10,1,1026
-10,1,1023
-9,0,1021
-16,0,1020
-8,-1,1021
-9,2,1022
0,1,1023
-40,1,1019
-74,-1,1019
-141,-10,1009
-226,0,985
-274,2,971
-409,3,913
-482,-5,883
-544,3,828
-619,-3,793
-688,-11,735
-736,3,690
-758,0,659
-805,-23,611
-827,-7,578
-841,-3,538
-902,-24,463
-906,-16,413
-940,-12,347
-977,-18,264
-992,-4,223
-959,-2,31
-998,-14,69
-1000,-14,79
-996,-17,66
-1000,-17,70
-998,-9,59
-1001,-12,63
-995,-12,65
-999,-14,65
-1000,-13,61
-998,-14,67
-997,-14,67
-1001,-11,64
-999,-12,62
-999,-14,63
-1006,-13,68
-1024,-26,74
-1003,-16,117
-1097,-15,454
-952,-30,378
-867,15,475
-813,-13,594
-764,0,662
-686,-18,743
-631,-10,788
-576,-15,847
-464,0,901
-382,0,943
-275,3,980
-169,2,1011
-91,28,1016
49,0,1055
-9,2,1036
-15,-3,1039
-14,1,1039
-22,-3,1044
-15,2,1044